feature,importance
rating_std,0.1529171642731235
avg_uppercase_ratio,0.15252821884271758
extreme_rating_ratio,0.12389035975651944
rating_variance,0.1161392250980419
rating_consistency,0.10488847401870638
rating_deviation,0.08202915555296814
avg_review_length,0.08174733559594735
total_reviews,0.05930877440922583
avg_word_count,0.04434518807298285
avg_exclamations,0.03648699736869643
unique_products,0.016080405477833706
avg_rating,0.011005221057731664
reviews_per_day,0.007755608082042902
burst_score,0.007724372561202925
avg_subjectivity,0.002629730859243276
avg_sentiment,0.0005237689730161548
avg_word_length,0.0
review_span_days,0.0
avg_questions,0.0
product_diversity_ratio,0.0
degree_centrality,0.0
clustering_coefficient,0.0
betweenness_centrality,0.0
pagerank,0.0
num_connections,0.0
in_suspicious_community,0.0
network_suspicion_score,0.0
